Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка
DevOps-инженер,Медиа Ком,Опыт работы в эксплуатации или внедрении инфраструктурных Enterprise проектов — от 3 лет. Опыт настройки серверного (вычислительного) оборудования,Функционал установка и настройка продуктов VK WorkSpace на площадках заказчиков. Поддержка развернутых ранее установок VK WorkSpace. Тестирование VK WorkSpace. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117371221
Специалист отдела информационной безопасности,ГБУ МО МОМИАЦ,"Знание способов и методов защиты информационных систем (антивирусная, СЗИ от НСД и др). Знания нормативных документов в сфере защиты информации. ",Организация исполнения требований законодательства в сфере информационной безопасности. Разработка регламентирующей документации по работе с персональными данными и конфиденциальной информации. ,Не указана,Нет опыта,https://hh.ru/vacancy/118223016
Junior DevOps Engineer,Островок,Опыт работы на схожей роли от одного года. Опыт работы с Linux. Знание Ansible. Знание Docker,Администрирование и поддержка работы сервисов. Настройка процессов сборки и доставки кода. Автоматизация и оптимизация рутинных действий.,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117315117
DevOps-инженер,Алеф-1,Опыт работы в качестве инженера DevOps от 2 лет. Знание PHP. Опыт работы с Ansible и Bash,Разработка и внедрение CI/CD пайплайнов для автоматизации процесса развертывания PHP-приложений,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118295381
Системный инженер в группу мониторинга в Банк,Сателл ИТ,Профильное высшее образование. Опыт на аналогичной должности от 3 лет,Настройка правил зонтичного мониторинга и обработки событий. Настройка правил мониторинга производительности приложений и анализа трассировок. Настройка форм представления данных мониторинга. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117627985
Ведущий системный инженер VoIP,МЭК Энергоэффективные технологии,Профильное техническое образование. Знание стека протокола TCP/IP. Знания в области операционных систем Linux,Участие в планировании и развитии VoIP-инфраструктуры предприятия. Разработка и реализация архитектуры высоконагруженных отказоустойчивых систем IP-телефонии предприятия. Развертывание ПО. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118277448
Аналитик (Offensive security),SolidLab,Релевантный опыт в Информационной безопасности не менее 2-х лет,"Сбор и обработка информации, поступающей от коллег-аудиторов в ходе проектов по анализу защищенности",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118131090
Старший системный инженер/Старший системный администратор,Промсельхозбанк,"1. Широкий кругозор в области ИТ-технологий (железо, софт). 2","С Proxmox/VMware. С системой мониторинга Zabbix, Prometheus + Grafana. Какие задачи придется решать: 1",280000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117755137
Middle DevOps-инженер,БэкСервис,"Работаешь DevOps-инженером от 1 года. Имеешь опыт работы с docker, yandex cloud, terraform, k8s, helm. ","Автоматизировать процессы сопровождения разработки. Оперативно реагировать на инциденты, решать их и анализировать. Повышать отказоустойчивость и доступность сервисов",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118070927
Инженер Ip телефонии,ТЕЛЕРУС,"Знание принципов построения телефонных сетей TDM и IP телефонии, используемых интерфейсов, протоколов и технологий",,150000 - 250000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/117481301
DevOps Engineer,IT SCOUT,"Обладает уверенными знаниями Linux (установка, настройка, базовое администрирование). Имеет знания Bash, Python, или другого языка для автоматизации задач. ",Оказанием помощи в настройке CI/CD разработчикам.,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118312634
SOC Analyst,Лаборатория Касперского,"Experience in work with ELK stack is welcome. Certifications (Offensive Security, GIAC) are welcome.","Analyze security events from endpoints (Windows, Mac, Linux), Network IDS, Web-proxies, Mail-gateways, Active Directory infrastructure",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117624191
Специалист отдела верификации,МЕГАИС,"Опыт работы приветствуется​​​​​​​.​​​​​​​. Уверенный пользователь ПК, почта, 1С. Внимательность. Ответственность. Исполнительность.",Заведение контрагентов в 1С (покупатель/поставщик). Добавление договоров в 1С. Обновление реквизитов контрагентов в 1С.,70000 - 80000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117946174
DevOps Engineer,AliExpress,Опыт работы на позиции DevOps Engineer от 2-х лет. Уверенные знания Kubernetes и опыт работы с контейнеризацией. ,Разработка и поддержка инфраструктуры на базе Kubernetes. Автоматизация процессов развертывания и управления приложениями с использованием - Puppet,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117135729
DevOps-инженер,Первый ОФД,Необходимые навыки: PostgreSQL. Ansible. Плюсом будет: Gitlab. Реальная возможность получать новый опыт и влиять на конечный результат.,Первый ОФД - активно развивающаяся продуктовая компания,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/114981847
IT инженер,Киберпротект,"Имеешь практический опыт работы с серверным оборудованием, системами хранения данных (СРК)","Обслуживание и поддержка IT-инфраструктуры офиса (Москва, м. Тургеневская). Поддержку компьютеров, периферийных устройств и оргтехники на рабочих и учебных местах. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116839999
DevOps engineer,Web3 Tech,Опыт работы с публичными облаками(у нас AWS). Опыт ведения инфраструктуры в terraform/pulumi и ansible,Внедрение и ведение в актуальном состоянии IaaC на базе terraform и ansible,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117573174
DevOps engineer (CI/CD),Lamoda Tech,Удобство превыше всего. Для работы мы предоставляем новые MacBook Pro или аналогичную машинку на Windows,"Kubernetes (Managed и on-premise, который помогает поддерживать команда инфраструктуры), docker, docker-compose, helm, helmfile, makefile",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117744435
"Инженер по системам безопасности / слаботочным системам (ОПС АПС ИТСО ТСО СКУД Видео) (Запад, ЮЗ)",ГБОУ ШКОЛА № 2025,Высшее образование (строго!). Релевантный опыт работы. Уверенные навыки деловой переписки (в т.ч. подготовка документов за подписью руководителя). ,"Основные обязанности: Контроль состояния АПС, СОУЭ, СКУД, видеонаблюдения, технических средств охраны",140000 -  RUR,Нет опыта,https://hh.ru/vacancy/118263992
Младший специалист по информационной безопасности (junior),Мамаева Ирина Анатольевна,"Законченное высшее образование в области ИБ/ИТ или последние курсы. Базовые знания о работе сети: модель OSI, стек TCP/IP. ",Компания на рынке 5 лет и является продуктовой компаний - вендором Siem продукта.,50000 RUR,Нет опыта,https://hh.ru/vacancy/118313059
Эксперт ИТ-инфраструктуры,K2 Тех,"Глубокие знания оборудования одного из вендоров Dell, EMC, HPE, NetApp, Huawei или Lenovo",Участвовать в решении сложных заявок. Формировать рекомендации для заказчиков. Помогать архитекторам в разработке решений. Участвовать в развитии инженеров команды. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118362422
DevOps-инженер,Мебелистер,"Linux и сетевые технологии: уверенное владение Linux (Ubuntu) и знание сетевых протоколов (TCP/IP, HTTP, DNS)",Контейнеризация и миграция сервисов: перевод существующих приложений в контейнеры с использованием Kubernetes,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118069334
Инженер сети передачи данных,Наука-Связь,"Желательно техническое образование в области телекоммуникаций, связи, сетевых технологий. Глубокие теоретические знания сетей с пакетной коммутацией",Администрирование сетевого оборудования. Введение в эксплуатацию нового оборудования,130000 - 150000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117983884
DevOps инженер,Банк ВТБ (ПАО),Образование высшее ИБ/ИТ. Знание средств и способов администрирования Linux серверов. Опыт самостоятельной настройки Ansible и разработки плейбуков. ,Участие в работах по обеспечению безотказной эксплуатации и развитию инфраструктуры систем мониторинга ИБ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/105263942
VoIP-инженер,Callmedia,Понимание цели и задачи IP-телефонии. Опыт работы с разными дайлерами,Настройка и управление системами мониторинга VoIP-инфраструктуры. Мониторинг технического состояния VoIP-систем и сетей,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118441017
Эксперт Удостоверяющего центра,Банк ВТБ (ПАО),,Мониторинг информационных систем УЦ. Восстановление работоспособности систем УЦ. Сопровождение ЗНИ. Оперативное оповещение задействованных служб,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116769378
Site Reliability Engineer (SRE) (middle/senior),SolidLab,"Уверенно работает с Linux. Разбирается в принципах работы сетевого стека. Программирует на Go, Python",Поддерживать стабильность и высокий уровень отказоустойчивости информационных систем,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116068164
Сетевой инженер,АВИТО ТЕХ,Хорошо разбираетесь в стеке TCP/IP и протоколе BGP. Имеете опыт работы с оборудованием Juniper или Cisco,"Поддерживать географически распределенную сеть, включающую сотни коммутаторов. Участвовать в развитии существующей сетевой архитектуры. Разрабатывать инструменты управления и автоматизации.",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118208661
Senior SysOps / Системный администратор,DatsTeam,Умение работать с Debian/Ubuntu на уровне администратора; опыт работы с другими ОС приветствуется,Разобраться в существующей инфраструктуре. Обслуживать действующую инфраструктуру. Участвовать в построении новой инфраструктуры,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118185717
DevOps инженер (Cloud Engineer),Jivo,"Опыт администрирования Linux систем (RHEL (AlmaLinux), Debian/Ubuntu). Понимание работы сетевого стека","Настройка и обновление серверов. Автоматизация развертывания серверов, веб-приложений. Мониторинг и обеспечение бесперебойной работы серверов и веб-приложений. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/110871706
Middle Devops инженер,Travelata.ru (ООО Травелата),"Опыт системного администрирования Linux. Опыт написания bash-скриптов. Опыт настройки Nginx и HAProxy. Опыт работы с системами мониторинга (Grafana, Prometheus). ","Работа с высоконагруженными проектами. Поддержка работоспособности инфраструктуры. Решение технических проблем, мониторинг. Плотное взаимодействие с командами разработки. Автоматизация процессов разработки. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/112602411
QA Engineer в команду информационной безопасности,VK,Желание и умение разбираться в функциональности нового продукта. Опыт подготовки первичных чек-листов и тест-кейсов,Мы — команда разработки внутреннего решения для хранения и поиска данных. Наше решение обеспечивает выполнение требований безопасности ряда сервисов VK. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117804645
Инженер технической поддержки по защите от кибератак,Servicepipe,,"Прием обращений клиентов и ведение ТТ (Trouble Ticket) в системе Servicedesk/Telegram по проблемам Клиентов, обеспечение технической поддержки Клиентов. ",Не указана,Нет опыта,https://hh.ru/vacancy/118339820
Инженер по информационной безопасности,MerlionTech,"Высшее техническое образование, приоритет профильному образованию. Опыт работы в области ИБ от 3 лет. Опыт администрирования серверов Windows. ","Внедрение и сопровождение систем информационной безопасности. Анализ, оценка и управление рисками информационных систем. Реагирование и расследование инцидентов ИБ.",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/115375737
Project Manager - Technical Manager,Интерсофт,Опыт работы в роли Project Manager/Technical Manager или аналогичной позиции от 3 лет,Управление жизненным циклом проектов: от постановки задач до внедрения и поддержки. Координация работы инхаус и аутсорс разработчиков,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117207936
Инженер информационной безопасности,Гамма-Центр (банковское оборудование),"Высшее образование в области информационных технологий, информационной безопасности или смежных дисциплин, или обучение на 4-5 курсе",Знание политик и процедур ИБ: Умение писать и корректировать политики информационной безопасности в соответствии с требованиями компании,150000 -  RUR,Нет опыта,https://hh.ru/vacancy/117988502
DevOps,Альфа-Банк,Опыт работы на позиции DevOps от 1-3 лет. Опыт работы с использованием Kubernetes. Опыт работы с Kafka. ,Участвовать в проекте по выбору целевого Service Mesh. Внедрять и пилотировать технологию Opentracing. Настраивать гибкие стратегии деплоя,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117692236
DevOps инженер/DevOps Engineer,Агентство Развития Компьютерного и Иных Видов Спорта,Опыт в DevOps от 3-х лет. Уверенные навыки работы в UNIX-подобных системах и с контейнерами,Развивать и поддерживать инфраструктуру в Yandex.Cloud и AWS с учётом отказоустойчивости и разных юрисдикций хранения данных,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118309575
Специалист по информационной безопасности,"ПОБЕДА, кондитерская фабрика",Высшее техническое образование. Знание программ и оборудования российских вендоров. Знания законодательных и регуляторных требований в области информационной безопасности.,"Мониторинг и обнаружение критических уязвимостей ОС, ПО, используемых в Компании, организация работы по их устранению",288000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/105842466
Заместитель начальника комплексной защиты объекта техническими средствами,Гохран России,,,113000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118116550
Системный инженер по информационной безопасности,"Росводоканал,ООО","Знание основ сетевых технологий, понимание работы и основных операционных систем (Windows, Linux)",Приведение в соответствии нормативно-правовых актов ГК по вопросам ИБ. Методологическое сопровождение проектов.,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118441268
Сетевой инженер,Филиал ФКУ Центр по обеспечению деятельности Казначейства России по обеспечению услугами в области информационных технологий,Понимание общих теоретических знаний в области сетевых технологий (на уровне CCNA),Администрирование и эксплуатация сетевой инфраструктуры распределенной сети передачи данных компании и центра обработки данных (ЦОД),120000 -  RUR,Нет опыта,https://hh.ru/vacancy/117894270
Сетевой администратор (м.Пражская),АКАДО Телеком,Высшее техническое образование,"Администрирование сетевого оборудования (инсталляция, конфигурация, мониторинг и проч.). Диагностика и устранение проблем на сети. Тестирование оборудования разных вендоров. ",250000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118073845
Senior Devops Engineer,Арктический 12,Что мы хотим видеть в вас: Знание linux в области администрирования. Понимание принципов работы контейнеризации,"Участвовать в создании, развитии и управлении инфраструктуры продукта. Поддерживать соответствия продукта техническим регламентам компании",Не указана,Более 6 лет,https://hh.ru/vacancy/118444075
Специалист службы информационной безопасности,РВ ГРУПП,Нам нужен сотрудник с опытом работы и экспертным знанием требований нормативных актов в области информационной безопасности,Работа в команде специалистов по информационной безопасности. Организация проведения аудита ИБ в сторонних компаниях. Выявление уязвимостей,200000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118456358
Руководитель направления IT-мониторинга,"Лента, федеральная розничная сеть","Опыт работы в области ИТ от 3 лет, наличие руководящего опыта","Проектирование и построение центра мониторинга Компании. Разработка политик и стандартов и внутренних распорядительных документов, покрывающих процессы ИТ мониторинга в Компании. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118435737
Ведущий инженер по информационной безопасности,НИИ Полюс им. М.Ф.Стельмаха,"Высшее профильное образование или последний курс. Знание Windows Serwer, Active Directory, Linux на уровне администратора. Опыт работы от 1 года. ","Сопровождение решений по настройкам общесистемного программного обеспечения, коммутационного оборудования и антивирусных средств",100000 -  RUR,Нет опыта,https://hh.ru/vacancy/117535685
Инженер внедрения продукта (IT компания),Атом Безопасность,"Знания в области сетей, навыки администрирования Windows и Linux систем. Понимание принципов работы БД","Проведение демонстраций ПО, вебинаров, обучение по настройкам, работе с системой",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117663643
Penetration Tester (Pentest) Middle,Непрерывные Технологии,"Понимание red-team killchain. Уверенное владение всем необходимым инструментарием, опыт его доработки, автоматизации задач","Участие в проектах по тестированию на проникновение, red-team. Разработка/адаптация специализированных инструментов, автоматизация процессов",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/108984553
Системный администратор,МАСКОМ,"Знания и опыт построения компьютерных сетей сложных конфигураций (VLAN Layer 3, VPN). Опыт настройки активного сетевого оборудования","Поддержка и развитие локальной (LAN), глобальной (WAN) и телефонной сетей. Установка и настройка серверов и сетевого оборудования",200000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/117996701
DevOps-инженер,Правительство Москвы,Высшее образование. Релевантный опыт работы от 2-х лет. Владение специализированными программами: контейнеризация и оркестрация Docker,"Резервное копирование и восстановление баз данных (PostgreSQL) и инфраструктуры (GitLab, YouTrack), автоматизация бэкапов",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118054359
Главный специалист в отдел поддержки Windows,ТРАНСКАПИТАЛБАНК,Опыт работы системным администратором в средних и больших центрах обработки данных (от 100 серверов),"Администрирование и обслуживание серверных операционных систем семейства Microsoft Windows (в основном виртуальных серверов, версии 2003-2022) Банковской Группы. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117145708
Руководитель по информационной безопасности,Арктик Катеринг Сервис,Высшее техническое образование. Опыт руководства командой не менее 3 лет,"Обеспечение защиты инфраструктуры, данных и автоматизированных систем в соответствии с требованиями регуляторов",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118245977
Специалист по информационной безопасности,СБЕР,Имеешь высшее техническое образование (предпочтительно – ИБ или ИТ),"Анализировать ИБ-требования в разрезе их применимости, актуальности, тестируемости",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117950383
Специалист / младший специалист отдела информационной безопасности (Удостоверяющий центр),"Велес Капитал, ИК","Высшее образование по направлению ""Информационная безопасность"" или аналогичные курсы по профессиональной переподготовке в количестве 512 часов или более. ",Изготовления сертификатов Электронной Подписи (ЭП) для клиентов и уполномоченных лиц компании,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118452679
Ведущий инженер по пожарной безопасности,Мбм Стаб,"Профильное высшее образование. Знание нормативной документации. Опыт проектирование объектов складского, промышленного, административного назначения. Опыт прохождения экспертизы. Опыт разработки СТУ. ",Проработка предпроектных решений по пожарной безопасности. Участие в разработке ТЗ на проектирование с Заказчиком и Подрядчиками,200000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/110286684
Системный администратор,EFT GROUP,Среднее специальное или высшее образование. Продвинутые знания ОС Windows. Разбираться в настройках сетевого адаптера,"Обслуживание компьютеров (в том числе сборка и обновление). Техническая поддержка пользователей (решение проблем с MS Office, Windows, IP-телефонией, принтером). ",100000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118302695
Специалист по информационной безопасности L1/L2 (SOC),Федеральная грузовая компания,,"Мониторинг событий информационной безопасности. Выявление, реагирование и расследование инцидентов информационной безопасности L1/L2",270000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/110611909
DevOps-инженер,Интеллектуальные решения,"Умение администрирования систем виртуализации Vmware, VK cloud, Hyper-V, Proxmox. Умение администрирования и развертывания систем контейнеризации Docker, Kubernetes. ",Работа в проектной команде. Быть опорной точкой для команды по техническим вопросам в части Unix/Сетей/Инфраструктуры,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118114065
Сетевой инженер по тестированию,Новые Телеком Решения (НТР),Опыт работы в тестировании от 2х лет. Знания в области радиотехники и радиоэлектроники. Понимание принципов разработки и тестирования ПО. ,"Разработка, внедрение и поддержка тестовых сценариев для проверки работы функций LTE",180000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/117790575
DevOps - Инженер,Группа компаний Астра,"Gitlab CI: настройка и оптимизация CI/CD пайплайнов с выкладкой артефактов. Docker: Dockerfile, multistage, buildah, buildx","Поддержание и развитие внутренний инфраструктуры проектов. Интеграция платформы Kubernetes с ""соседними"" продуктами разрабатываем в группе компании",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118254319
Главный специалист по охране труда и промышленной безопасности,Газпром нефть,"Готовы рассмотреть также студентов последних курсов по специальности ""Техносферная безопасность""","Проведение проверок административно-производственного контроля за пожарной, промышленной, экологической безопасностью и охраной труда. Контроль проведения работ повышенной опасности. ",Не указана,Нет опыта,https://hh.ru/vacancy/115779074
Специалист по информационной безопасности,BI.ZONE,,"Анализ и согласование заявок на предоставление доступа (соответствие архитектуре ИБ, законодательству и пр.). Выявление, анализ, контроль обработки инцидентов ИБ. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117363017
Системный инженер,АльфаСтрахование,Опыт работы от 3 до 6 лет в аналогичной должности,"Администрирование AD, DNS, DHCP в географически-распределенной среде. Управление нагруженными Windows серверами и Failover Clusters",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118457402
Сетевой инженер,ФГБУ Федеральный центр подготовки спортивного резерва,"Высшее техническое законченное образование, преимущественно информационная безопасность, или по направлению информационные технологии",администрирование сети и обеспечение технической защиты информации организации. - администрирование средств антивирусной защиты. - оценка действующих систем защиты,247000 - 247000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118114518
Стажер в отдел информационной безопасности ВТБ,Changellenge,,"Погружение в проекты IT-производства. Анализ уязвимости информационных систем и изучение документации. Защита операционных систем, трафика и веб-приложений. ",65000 - 65000 RUR,Нет опыта,https://hh.ru/vacancy/118266849
Техник по эксплуатации ЦОД,Филанко,"Мониторинг работы оборудования дата-центра, опыт работы в программе SCADA приветствуется. Ответственность, внимательность, исполнительность, стрессоустойчивость, нацеленность на результат. ","Организация и обеспечение бесперебойной работы электрооборудования включая ИБП, ДГУ, холодильного оборудования",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117327723
Системный администратор,СпецЦентр,"Желание развиваться в сфере ИТ и защиты информации. Знание компьютера (знание ""железа"", основ архитектуры современных операционных систем, баз данных). ","Установка и настройка средств защиты информации (АПКШ Континент, Secret Net Studio и т.д.)",140000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118435549
Сетевой инженер (Linux),"MSK-IX, Центр взаимодействия компьютерных сетей",Высшее образование. Хорошее знание стека протоколов TCP/IP. Опыт ведения прикладных разработок,Управление критичной инфраструктурой с высокими требованиями надежности. Разработка и поддержание сетевых внутрикорпоративных ресурсов. Развитие сетевых приложений и проектов. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117418329
Специалист по информационной безопасности,ИнтеллСтафф,Высшее образование в сфере ИБ. Опыт работы в сфере ИБ не менее 3 лет,,200000 - 250000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118235823
Системный инженер,СТ Софт,"Экспертное знание серверных ОС Linux (RHEL, Debian, Astra Linux, RED OS). Знание основ NOSQL СУБД","Сопровождение open-source продуктов. Расследование инцидентов: установка, обновление, настройка.",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117419998
Инженер дежурной смены по сопровождению СКЗИ,Альфа-Банк,Образование высшее техническое по направлению ИБ или ИТ. Опыт работы по специальности: 1 - 3 года,Выполнять функции дежурной смены в части сопровождения участков платежных систем Банка России в роли Администратора криптографической системы,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118127753
Эксперт по нормативному соответствию (информационная безопасность),РТК-Сервис,"Высшее образование, приветствуется в области информационной безопасности или информационных технологий",Разработка и поддержание в актуальном состоянии внутренних нормативных документов в области информационной безопасности,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118463585
DevOps инженер,Гео Техно Сот,"Высшее техническое образование. Опыт администрирования Linux (Ubuntu). Опыт автоматизации на скриптовых языках (Bash, Python, Perl и т.п.). ","Администрирование серверов приложений и СУБД. Автоматизация сборки, развертывания и тестирования приложений",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117509845
Начальник отдела информационной безопасности,Ингосстрах Банк,Руководство коллективом от 2 чел. (минимум 2 года),Руководство подразделением из 4 человек. Организация работы команды по следующим направлениям: - Методология ИБ. - Compliance. - Риски ИБ. - Data Leakage Protection. - ,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118232154
Инженер windows,БУРГЕР КИНГ РОССИЯ,"Знание Windows Server (установка, настройка, администрирование). Понимание работы Active Directory, DNS, DHCP и других базовых ролей Windows Server. ","Администрирование Windows Server (2016/2019/2022). Управление Active Directory, DNS, DHCP, GPO, FileServer, RDS. Настройка и контроль резервного копирования. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117725198
Руководитель направления Информационная безопасность,Филиал ФКУ Центр по обеспечению деятельности Казначейства России по обеспечению услугами в области информационных технологий,Знание и умение применять требования НПА к объектам вычислительной техники и выделенным помещениям при их проектировании,"Организация эксплуатации технических средств защиты информации и систем реагирования (криптографические сети, антивирусное ПО, SIEM и другое)",Не указана,Более 6 лет,https://hh.ru/vacancy/118235047
Главный специалист по информационной безопасности,"Авангард, АКБ","Понимание принципов и опыт работы с системами: IDS/IPS, NGFW, SIEM, AV","Администрировать и сопровождать следующие системы ИБ: SIEM, сканер уязвимостей, антивирусные системы (Kaspersky, DrWeb), WebProxy. Работать с Kali Linux. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116508011
